City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Esperance,AU,-33.8667,121.9,53.44,72,99,21.97,overcast clouds
80,Kuhdasht,IR,33.535,47.6061,85.46,14,58,10.36,broken clouds
81,Bethel,US,41.3712,-73.414,82.29,45,0,8.05,clear sky
82,Lompoc,US,34.6391,-120.4579,64.85,86,100,6.91,overcast clouds
83,Rafraf,TN,37.1904,10.1837,93.52,40,12,18.52,few clouds
84,Bijela,BA,43.6086,17.9519,86.7,68,86,2.64,overcast clouds
85,East Wenatchee Bench,US,47.4257,-120.2812,60.33,79,100,8.05,overcast clouds
86,Kavieng,PG,-2.5744,150.7967,80.73,72,22,9.57,few clouds
87,Mandalgovi,MN,45.7625,106.2708,50.11,45,0,8.57,clear sky
88,Hualmay,PE,-11.0964,-77.6139,69.17,72,79,8.3,broken clouds
89,Tabuny,RU,52.7773,78.7896,51.55,41,83,8.37,broken clouds
90,Georgetown,MY,5.4112,100.3354,82.33,87,40,0.0,scattered clouds
91,Olafsvik,IS,64.8945,-23.7142,44.33,65,1,9.82,clear sky
92,Saint George,US,37.1041,-113.5841,84.63,15,0,4.61,clear sky
93,Zaozhuang,CN,34.8647,117.5542,73.4,83,100,5.19,overcast clouds
94,Tuatapere,NZ,-46.1333,167.6833,42.15,84,98,4.76,light rain
95,Yulara,AU,-25.2406,130.9889,54.39,45,18,6.2,few clouds
96,Kerman,IR,30.2832,57.0788,78.66,15,20,13.8,few clouds
97,Tasiilaq,GL,65.6145,-37.6368,35.76,62,8,8.14,clear sky
98,Les Escoumins,CA,48.1111,-69.0236,43.95,81,99,1.88,overcast clouds
99,Souillac,MU,-20.5167,57.5167,75.58,69,40,16.11,light rain
100,Puerto Ayora,EC,-0.7393,-90.3518,78.76,78,69,9.46,broken clouds
101,Isangel,VU,-19.55,169.2667,73.71,87,90,6.96,overcast clouds
102,Eureka,US,40.8021,-124.1637,63.75,89,100,7.56,overcast clouds
103,Leh,IN,34.1667,77.5833,52.65,28,16,6.6,few clouds
104,Chowchilla,US,37.123,-120.2602,75.02,49,20,9.22,few clouds
105,Bathsheba,BB,13.2167,-59.5167,88.41,62,20,23.02,few clouds
106,Yellowknife,CA,62.456,-114.3525,61.32,39,20,11.5,few clouds
107,Boa Vista,BR,2.8197,-60.6733,84.18,65,75,5.75,broken clouds
108,Manoel Urbano,BR,-8.8389,-69.2597,79.18,78,100,2.46,overcast clouds
109,Ningbo,CN,29.8782,121.5495,78.78,94,0,0.0,light rain
110,Bell Ville,AR,-32.6259,-62.6887,59.81,43,9,11.43,clear sky
111,Atuona,PF,-9.8,-139.0333,78.01,77,17,18.12,few clouds
112,Qaqortoq,GL,60.7167,-46.0333,54.41,34,0,4.38,clear sky
113,Severo-Kurilsk,RU,50.6789,156.125,40.77,93,65,7.09,broken clouds
114,Saldanha,ZA,-33.0117,17.9442,62.65,86,98,13.73,overcast clouds
115,Brovst,DK,57.0956,9.528,69.35,60,40,5.75,scattered clouds
116,Husavik,IS,66.0449,-17.3389,44.92,68,15,6.2,few clouds
117,Amstetten,AT,48.1229,14.8721,81.79,67,14,3.94,few clouds
118,Tazovskiy,RU,67.4667,78.7,31.41,88,100,17.56,overcast clouds
119,Terrace,CA,54.5163,-128.6035,53.51,87,75,2.3,broken clouds
120,Morondava,MG,-20.2833,44.2833,76.46,71,0,14.7,clear sky
121,Sangar,RU,63.9242,127.4739,54.59,79,62,2.13,broken clouds
122,Touros,BR,-5.1989,-35.4608,82.85,69,100,11.54,overcast clouds
123,Thompson,CA,55.7435,-97.8558,42.96,75,100,8.05,overcast clouds
124,Chalus,IR,36.655,51.4204,76.46,47,0,6.91,clear sky
125,Gat,IL,31.61,34.7642,82.4,45,0,9.6,clear sky
126,Kapaa,US,22.0752,-159.319,71.58,98,0,4.61,light rain
127,Mayo,US,38.8876,-76.5119,84.67,43,0,5.01,clear sky
128,Clyde River,CA,70.4692,-68.5914,30.43,93,100,11.5,light snow
129,Carballo,ES,43.213,-8.691,67.77,76,78,5.55,broken clouds
130,Lebu,CL,-37.6167,-73.65,51.69,96,100,7.0,moderate rain
131,San Policarpo,PH,12.1791,125.5072,80.47,78,100,0.51,heavy intensity rain
132,Adrar,MR,20.5022,-10.0711,102.58,10,66,21.52,broken clouds
133,Wahiawa,US,21.5028,-158.0236,72.21,76,40,5.75,scattered clouds
134,Maceio,BR,-9.6658,-35.7353,78.24,78,75,3.44,broken clouds
135,Bredasdorp,ZA,-34.5322,20.0403,58.69,82,100,3.49,overcast clouds
136,Sukhoy Log,RU,56.9094,62.0296,47.14,67,20,5.5,few clouds
137,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,19.57,broken clouds
138,Surt,LY,31.2089,16.5887,77.31,70,0,11.86,clear sky
139,Cidreira,BR,-30.1811,-50.2056,62.56,74,4,17.29,clear sky
140,Baherden,TM,38.4362,57.4316,86.2,13,0,7.49,clear sky
141,Salalah,OM,17.0151,54.0924,86.09,70,75,4.61,broken clouds
142,Roshchino,RU,60.2519,29.6085,54.3,80,70,8.93,broken clouds
143,Cockburn Town,TC,21.4612,-71.1419,80.56,83,88,17.78,overcast clouds
144,Berlevag,NO,70.8578,29.0864,48.15,87,100,9.22,overcast clouds
145,Snezhnogorsk,RU,69.1933,33.2531,53.38,83,100,8.79,overcast clouds
146,Jiaohe,CN,43.7286,127.3447,50.56,99,100,6.13,overcast clouds
147,Waw,SS,7.7029,27.9953,85.84,40,85,2.35,overcast clouds
148,Qaanaaq,GL,77.484,-69.3632,28.76,77,58,5.59,broken clouds
149,Kirakira,SB,-10.4544,161.9205,80.55,84,100,11.54,overcast clouds
150,Vaini,TO,-21.2,-175.2,68.16,94,20,3.44,few clouds
151,Chornukhy,UA,50.2673,32.942,63.27,74,85,6.51,overcast clouds
