City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Canton,CN,84.15,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
212,Virden,US,81.09,clear sky,39.5009,-89.7679,Virden Nail Spa
214,San Patricio,US,89.49,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
216,Baniachang,BD,77.38,overcast clouds,24.5167,91.3667,ভটে বাড়ি বানিয়াচং হবিগঞ্জ
218,Benguela,AO,75.54,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
220,Atmakur,IN,89.24,overcast clouds,15.8833,78.5833,Mee seva atk
227,Omboue,GA,75.99,overcast clouds,-1.5746,9.2618,Hotel Olako
229,Buala,SB,80.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
232,Dhidhdhoo,MV,82.35,scattered clouds,6.8833,73.1,Dhidhoo beach
235,Avera,US,83.55,broken clouds,33.194,-82.5271,Shell Qianjiang City Qianjiang bus station Hotel
239,Mana,GF,82.94,scattered clouds,5.6592,-53.7767,LE SAMANA
240,Havelock,US,82.98,few clouds,34.8791,-76.9013,Sherwood Motel
244,Demba,CD,77.18,scattered clouds,-5.51,22.2667,Guest House Du Cinquantenaire
245,Banda Aceh,ID,80.98,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
247,Kismayo,SO,78.39,few clouds,-0.3582,42.5454,Agan-Hotel
249,Waingapu,ID,78.31,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
250,Amapa,BR,89.85,overcast clouds,1.0,-52.0,Shell Qianjiang City Qianjiang bus station Hotel
256,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
265,Meulaboh,ID,77.18,overcast clouds,4.1363,96.1285,Kost Pria
268,Tambura,SS,76.62,overcast clouds,5.6,27.4667,Rikito Lodge
270,Rajmahal,IN,86.95,overcast clouds,25.05,87.8333,Marrage hall (विवाह भवन)
274,Majagual,CO,87.73,overcast clouds,8.5389,-74.6204,Achi bolivar
275,Biak,ID,76.15,overcast clouds,-0.9131,122.8766,Penginapan Kim
277,Vila Do Maio,CV,86.79,few clouds,15.1333,-23.2167,Hotel Marilu
278,Hengyang,CN,77.05,overcast clouds,26.8881,112.615,Honglin Guesthouse
282,Arrecife,ES,76.98,scattered clouds,28.963,-13.5477,Hotel Lancelot
283,Los Mochis,MX,88.65,clear sky,25.7667,-108.9667,Hotel Fénix Sinaloa
285,Pokhara,NP,78.42,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
293,Micco,US,75.22,heavy intensity rain,27.8806,-80.5003,Seashell Suites Resort
294,Lorengau,PG,80.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
297,Borba,BR,82.78,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
300,La Asuncion,VE,85.73,broken clouds,11.0333,-63.8628,Colinas de Matasiete
304,Tharad,IN,87.37,scattered clouds,24.3961,71.6267,Suresh Parmar
306,Mae Hong Son,TH,75.74,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
307,Kencong,ID,76.3,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
310,Kecskemet,HU,81.73,few clouds,46.9062,19.6913,Hotel Három Gúnár
312,Sabang,ID,83.52,overcast clouds,5.8933,95.3214,Hotel Citra
315,Meiktila,MM,81.9,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
316,Tebingtinggi,ID,75.11,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
320,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
321,Kulhudhuffushi,MV,82.27,few clouds,6.6221,73.07,Haajy Guest House 1
322,Luwuk,ID,77.31,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
323,Taganak,PH,80.74,clear sky,6.0833,118.3,Taganak
325,Wadi Musa,JO,77.2,scattered clouds,30.3222,35.4793,Petra Palace Hotel
329,Marshall,US,83.07,clear sky,34.3834,-86.3333,Riverview Campground
330,San Carlos,VE,81.57,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
331,Port-Gentil,GA,76.78,overcast clouds,-0.7193,8.7815,Fengshui Residence
333,Kudat,MY,75.13,few clouds,6.8837,116.8477,Dream Garden Hotel
335,Kuching,MY,79.02,scattered clouds,1.55,110.3333,Hilton Kuching
338,Panzhihua,CN,78.93,broken clouds,26.5851,101.7128,Electric Power Hotel
339,Bandarbeyla,SO,80.31,few clouds,9.4942,50.8122,JABIR HOTEL
341,San Miguelito,PA,86.9,scattered clouds,9.0333,-79.5,Sheraton Grand Panama
343,Defiance,US,77.04,clear sky,41.3334,-84.45,Airway Estates
345,Lasa,IT,78.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
347,Mithi,PK,81.86,clear sky,24.7318,69.7981,Ashiyana guest house
349,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
354,Umm Bab,QA,88.45,clear sky,25.2142,50.8072,Shell Qianjiang City Qianjiang bus station Hotel
355,Sinnamary,GF,82.29,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
356,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
360,Santa Helena De Goias,BR,87.04,broken clouds,-17.8136,-50.5969,Castro Castle Hotel
361,Srikakulam,IN,83.19,overcast clouds,18.3,83.9,Micro Systems
362,Acapulco,MX,85.06,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
370,Ravar,IR,82.09,clear sky,31.2656,56.8055,computertik
371,Amarante Do Maranhao,BR,78.13,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
372,Valle De Allende,MX,82.51,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
374,Dulce Grande,MX,75.43,scattered clouds,23.0,-102.1667,Shell Qianjiang City Qianjiang bus station Hotel
