City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Nantucket,41.2835,-70.0995,57.99,83,20,10.36,US,2022-05-31 23:17:35
68,Vuktyl,63.8567,57.3094,48.67,52,27,5.61,RU,2022-05-31 23:21:12
69,Mataura,-46.1927,168.8643,53.47,78,94,3.96,NZ,2022-05-31 23:21:12
70,Fuente Palmera,37.7049,-5.0996,68.95,73,0,4.5,ES,2022-05-31 23:21:13
71,Salalah,17.0151,54.0924,80.96,84,37,6.55,OM,2022-05-31 23:21:13
72,Ugoofaaru,5.6667,73.0,80.44,79,100,20.15,MV,2022-05-31 23:21:13
73,Siniscola,40.5719,9.6922,63.95,70,1,4.63,IT,2022-05-31 23:21:14
74,Durango,24.8333,-104.8333,89.42,11,4,9.22,MX,2022-05-31 23:19:48
75,Port Blair,11.6667,92.75,80.64,89,40,5.75,IN,2022-05-31 23:21:14
76,Dikson,73.5069,80.5464,29.53,91,100,21.72,RU,2022-05-31 23:21:14
77,Miri,4.4148,114.0089,78.94,94,20,5.75,MY,2022-05-31 23:18:58
78,Portland,45.5234,-122.6762,79.95,44,20,8.05,US,2022-05-31 23:19:02
79,Hobart,-42.8794,147.3294,50.02,84,40,12.66,AU,2022-05-31 23:21:15
80,Longyearbyen,78.2186,15.6401,38.07,78,38,4.85,SJ,2022-05-31 23:21:15
81,Ceres,37.5949,-120.9577,88.05,11,0,13.8,US,2022-05-31 23:21:15
82,Korla,41.7597,86.1469,74.41,36,100,12.8,CN,2022-05-31 23:21:16
83,Sola,-13.8833,167.55,81.91,77,53,15.55,VU,2022-05-31 23:21:17
84,Saldanha,-33.0117,17.9442,42.85,69,3,1.88,ZA,2022-05-31 23:21:17
85,Maragogi,-9.0122,-35.2225,76.15,87,7,5.66,BR,2022-05-31 23:21:18
86,San Quintin,30.4833,-115.95,65.98,64,0,14.72,MX,2022-05-31 23:21:18
87,Provideniya,64.3833,-173.3,42.91,81,0,4.47,RU,2022-05-31 23:21:18
88,Miraflores,19.2167,-98.8083,73.98,43,88,7.11,MX,2022-05-31 23:21:19
89,Ancud,-41.8697,-73.8203,40.23,83,5,3.49,CL,2022-05-31 23:19:21
90,Alim,9.5649,122.4876,80.92,81,100,7.72,PH,2022-05-31 23:22:19
91,Payo,-3.7508,103.6372,71.33,96,98,1.7,ID,2022-05-31 23:22:19
92,College,64.8569,-147.8028,80.01,21,75,5.75,US,2022-05-31 23:22:20
93,Tezu,27.9167,96.1667,74.44,90,83,2.46,IN,2022-05-31 23:22:20
94,Dickinson,29.4608,-95.0513,89.15,77,40,18.41,US,2022-05-31 23:18:36
95,Mercedes,-34.6515,-59.4307,42.04,53,67,1.03,AR,2022-05-31 23:22:21
96,Jamestown,42.097,-79.2353,80.24,53,0,10.36,US,2022-05-31 23:22:21
97,Inverell,-29.7833,151.1167,52.66,72,9,5.99,AU,2022-05-31 23:22:21
98,Severo-Kurilsk,50.6789,156.125,43.45,83,97,6.24,RU,2022-05-31 23:22:22
99,Bredasdorp,-34.5322,20.0403,49.77,69,11,7.38,ZA,2022-05-31 23:22:22
100,Chokurdakh,70.6333,147.9167,42.26,80,100,7.87,RU,2022-05-31 23:22:22
101,Punta Alta,-38.8759,-62.0736,42.78,52,0,8.41,AR,2022-05-31 23:22:23
102,Hay River,60.8156,-115.7999,53.58,47,20,14.97,CA,2022-05-31 23:22:23
103,Karatuzskoye,53.6072,92.8667,56.62,81,99,2.42,RU,2022-05-31 23:22:23
104,Craig,40.5153,-107.5464,57.38,41,0,5.75,US,2022-05-31 23:17:35
105,Georgetown,5.4112,100.3354,78.73,98,20,4.61,MY,2022-05-31 23:22:03
106,Mount Isa,-20.7333,139.5,62.37,48,73,8.05,AU,2022-05-31 23:22:24
107,Atuona,-9.8,-139.0333,77.97,73,7,12.03,PF,2022-05-31 23:22:24
108,Tiksi,71.6872,128.8694,31.93,89,100,6.55,RU,2022-05-31 23:22:24
109,Norman Wells,65.282,-126.8329,73.44,33,75,5.75,CA,2022-05-31 23:22:25
110,Tadine,-21.55,167.8833,79.59,79,71,7.61,NC,2022-05-31 23:22:26
111,San Patricio,28.017,-97.5169,89.17,53,13,16.82,US,2022-05-31 23:22:26
112,Karratha,-20.7377,116.8463,61.36,80,98,12.37,AU,2022-05-31 23:22:27
113,Ribeira Grande,38.5167,-28.7,61.2,82,40,11.5,PT,2022-05-31 23:22:27
114,Marquette,46.5333,-87.6335,81.84,52,0,11.86,US,2022-05-31 23:22:28
115,Gweta,-20.1833,25.2333,59.59,30,19,12.28,BW,2022-05-31 23:22:28
116,Nakusp,50.2499,-117.8023,71.94,35,100,3.44,CA,2022-05-31 23:22:28
117,Sao Joao Da Barra,-21.6403,-41.0511,71.44,93,74,9.26,BR,2022-05-31 23:22:28
118,Bambous Virieux,-20.3428,57.7575,74.21,60,40,11.5,MU,2022-05-31 23:22:29
119,Hovd,48.0056,91.6419,63.36,43,98,4.43,MN,2022-05-31 23:22:29
120,Tasiilaq,65.6145,-37.6368,35.76,91,98,0.6,GL,2022-05-31 23:22:29
121,Chuy,-33.6971,-53.4616,42.53,70,57,5.88,UY,2022-05-31 23:22:30
122,Bukama,-9.2,25.85,68.4,55,9,3.27,CD,2022-05-31 23:22:30
123,Katsuura,35.1333,140.3,68.59,73,63,13.29,JP,2022-05-31 23:22:30
124,Mar Del Plata,-38.0023,-57.5575,43.09,64,0,6.91,AR,2022-05-31 23:19:44
125,Dingle,10.9995,122.6711,79.12,87,76,3.47,PH,2022-05-31 23:22:20
